00016,8,08306,08250,08525,08319,08291,08359
00032,9,08309,08254,08525,08319,08293,08363
00048,0,08309,08251,08523,08321,08291,08362
00064,1,08307,08252,08523,08322,08291,08360
00080,2,08297,08256,08522,08323,08294,08346
00096,3,08305,08257,08524,08322,08290,08356
00112,4,08300,08257,08523,08322,08293,08355
00128,5,08307,08256,08524,08320,08291,08365
00144,6,08306,08250,08522,08319,08291,08368
00160,7,08300,08257,08522,08323,08290,08356
00176,8,08304,08254,08525,08319,08293,08359
00192,9,08300,08248,08521,08319,08292,08361
00208,0,08301,08247,08520,08320,08293,08360
00224,1,08299,08258,08523,08323,08291,08354
00240,2,08303,08251,08524,08320,08291,08356
00256,3,08299,08254,08525,08321,08292,08356
00272,4,08298,08257,08523,08321,08293,08353
00288,5,08303,08254,08523,08321,08292,08360
00304,6,08305,08261,08525,08322,08290,08356
00320,7,08303,08256,08524,08320,08291,08360
00336,8,08299,08252,08524,08320,08290,08365
00352,9,08301,08258,08525,08322,08295,08354
00368,0,08305,08255,08524,08321,08290,08360
00400,2,08299,08256,08522,08323,08292,08351
00416,3,08304,08248,08524,08319,08294,08353
00448,3,08304,08248,08524,08319,08294,08353
00544,4,08724,45576,08710,12810,00006,04614
00560,4,04628,41480,08710,12810,00008,08711
00608,4,08299,08258,08522,08323,08293,08348
00624,5,08308,08260,08522,08322,08290,08367
00640,6,08301,08258,08520,08323,08293,08355
00656,7,08306,08255,08522,08322,08290,08358
00672,8,08304,08251,08518,08321,08293,08366
00688,9,08298,08258,08522,08323,08291,08359
00704,0,08304,08259,08526,08320,08290,08358
00720,1,08297,08259,08522,08323,08293,08355
00736,2,08300,08254,08523,08321,08292,08360
00752,3,08301,08257,08520,08323,08290,08359
00768,4,08306,08261,08526,08321,08291,08358
00784,5,08304,08259,08522,08320,08290,08367
00800,6,08304,08259,08524,08321,08292,08355
00816,7,08306,08260,08524,08321,08290,08360
00832,8,08306,08259,08524,08322,08290,08358
00848,9,08306,08260,08524,08321,08290,08360
00864,0,08304,08259,08524,08320,08290,08362
00880,1,08298,08262,08526,08320,08292,08362
00896,2,08304,08258,08523,08322,08290,08360
00912,3,08308,08261,08524,08322,08291,08360
00928,4,08299,08261,08522,08321,08293,08357
00944,5,08304,08256,08523,08320,08291,08360
00960,6,08302,08259,08521,08322,08292,08362
00976,7,08306,08257,08522,08321,08291,08362
00992,8,08301,08248,08522,08319,08292,08357
01008,9,08304,08259,08524,08320,08290,08362
01024,0,08305,08243,08521,08319,08290,08373
