-0.08584724  0.25020650 0.81668310  0.05949612 -0.03441559  0.01272253 1
-0.17490372 -0.05373024 0.40072772  0.02351839 -0.01460007 -0.00065945 0
-0.12676508  0.21331708 0.51213003  0.01244342 -0.02221399  0.00008042 0
-0.06498716  0.01764277 0.57223919  0.03707568 -0.02276129  0.00384410 0
-0.42362003 -0.83883333 1.46586201  0.09167080  0.00870853  0.07895689 1
-0.10109114 -0.31756979 1.47147219  0.09254598 -0.03749014  0.00823506 1
-0.01925546 -0.01523693 0.50892421  0.03157002  0.00086924 -0.00688400 2
 0.00561617  0.06255163 0.32779528  0.00598303 -0.01752974 -0.00094896 2
-0.09306804  0.12831103 0.23642936  0.01736033  0.01089773 -0.00474481 2
 0.10590501  0.02967192 0.59147412  0.03414781 -0.01659611 -0.00223569 0
 0.17169448  0.11948964 1.12524344 -0.00291195 -0.04975612 -0.00854066 1
-0.12114891 -0.01684082 0.46324125  0.03347949  0.00622958 -0.00490565 2
-0.05776637  0.07217495 0.49930674  0.02765559  0.01844727  0.00141540 2
-0.14200899  0.09142161 0.77580887  0.05082391  0.01146113  0.00368326 0
 0.66832478  0.62391236 1.57726431 -0.07063473  0.03253223  0.05581186 1
